,0
0,What ifs
1,seniority
2,familiarity
3,ORM
4,JPA2
5,Hibernate
6,MyBatis
7,Hibernate
8,Maven
9,Gradle.. Familiarity
10,jenkins
11,bamboo
12,Familiarity
13,conceptual data models
14,coding practices
15,consistency
16,methodologies
17,high throughput data access services
18,analyze/profile data
19,"conceptual, logical & physical data model designs"
20,reporting and analytics solutions
21,variances
22,discrepancies
23,all phases
24,logical and physical data models
25,interpersonal skills
26,modern enterprise data architectures
27,data toolsets
28,STEM majors
29,Strong algorithms
30,coding background
31,Python
32,Exceptional proficiency
33,i.e. Postgres
34,MySQL
35,Oracle
36,Clickhouse
37,i.e. Apache Spark
38,Apache Flink
39,Celery
40,Distributed Queues
41,i.e. Apache Kafka
42,similar cloud platform technologies
43,persuasion
44,experience building cloud environments
45,scripting
46,"python, shell"
47,IPC mechanisms
48,Kafka
49,zmq
50,grpc
51,microservice architecture
52,docker
53,cloud environments
54,etcd
55,service meshes
56,envoy
57,load balancers
58,consistency
59,distributed consensus
60,CAP Theorem
61,RAFT
62,"map-reduce, reliable multicast"
63,Paxos
64,Makefiles
65,Microservices
66,GCPNode.js
67,Ruby
68,PerlExperience
69,Bazel
70,binary protocolsExperience
71,experience building cloud environments
72,scripting
73,"python, shell"
74,IPC mechanisms
75,Kafka
76,zmq
77,grpc
78,microservice architecture
79,docker
80,cloud environments
81,etcd
82,service meshes
83,envoy
84,load balancers
85,consistency
86,distributed consensus
87,CAP Theorem
88,RAFT
89,"map-reduce, reliable multicast"
90,Paxos
91,Makefiles
92,Microservices
93,GCPNode.js
94,Ruby
95,PerlExperience
96,Bazel
97,binary protocolsExperience
98,CSS
99,algorithms
100,the following types frameworks/libraries/languages
101,Angular
102,Meteor
103,Ember
104,Knockout
105,Vue
106,Bootstrap
107,ES6
108,TypeScript
109,Dependency injection patterns
110,"AMD, requireJS"
111,commonJS
112,SASS
113,Redux
114,RxJS
115,optionals
116,:Familiarity
117,consuming service oriented architecture layers
118,APIs
119,JSON
120,JavaScript Design
121,Architectural Patterns
122,Proficiency
123,Maven
124,Spring/Guice
125,JPA/Hibernate
126,JavaExperience
127,highly distributed and scalable systems
128,latency
129,heap
130,profiling
131,distributed troubleshooting
132,MongoDB
133,Cassandra
134,Java Application Servers
135,Oracle WebLogic
136,JBoss
137,Jasmine
138,Karma
139,Protractor
140,Junit
141,Scrum / Kanban
142,Guice
143,GRPC
144,-
145,-
146,/BTech/BS
147,Excellent analytical and problem-solving skills
148,Python
149,Django
150,Flask
151,APIs
152,Familiarity
153,Redux
154,TensorFlow
155,H20
156,Mesos
157,Proficiency
158,QML
159,Qt/C++
160,embedded Linux-Systems
161,RasPi
162,BeagleBone
163,IP-based network protocols
164,mentor
165,scaling
166,availability characteristics
167,the long-term architectural direction
168,reliability
169,extensibility
170,deliverables
171,security protocols
172,customisation
173,continuous scaling
174,internationalization
175,directional paths
176,Myntra
177,-
178,"term, long-term roadmaps"
179,excellent abstraction
180,coding
181,a high growth & matrix environment
182,an efficient proficient problem-solver
183,-
184,architectures
185,massively large scale distributed internet systems
186,reliability
187,queues
188,concurrency
189,Bachelor
190,React JS
191,JS/TypeScript
192,Redux
193,Webpack bundling
194,CSS3
195,CSS
196,SASS
197,Mysql
198,Postgres
199,Data modeling skills
200,the testing frameworks
201,all phases
202,a standardized IT methodology
203,outputs
204,modifications
205,specifications
206,congruence
207,the compatibility
208,Minimum 1 year Java design and development experience
209,more complex assigned tasks
210,SOPs
211,cleanliness
212,Inputs
213,datasets
214,Handles
215,dataset derivations
216,questions specification
217,consistency
218,supervisor
219,SOPs
220,documents timelines
221,BIOSETUP
222,SAP
223,shells
224,Shares accountability
225,rework
226,mentors junior staff
227,(QC) review
228,define xmls
229,SDRG
230,ADRG
231,proactive approach
232,efficiencies
233,RFPs
234,bid defenses
235,CDISC/ADaM/SDTM
236,Base SAS
237,SAS/STAT
238,SAS Macro Language
239,coworkers
240,analysis data modeling
241,the Data Analytics team
242,Coda
243,analytical techniques
244,ETL
245,AWS technologies
246,Redshift
247,S3
248,DynamoDB
249,Kinesis Firehose
250,ML teams
251,datasets
252,Tableau
253,Bachelor’s degree
254,Redshift
255,cloud solutions / AWS / Azure / Google cloud
256,Spark/Scala/PySpark/ Apache Kafka / Kinesis Streams / AWS Glue
257,reporting/analytics platforms
258,Experience building flexible data APIs
259,a data/software developer/scientist
260,data mining libraries
261,problem solving
262,Collaborative Filtering
263,high visibility
264,algorithms
265,the AppStore
266,(MVVM
267,Proficiency
268,RESTful APIs
269,Proficient understanding
270,deadlines
271,deliverables
272,bottlenecks
273,our software stack
274,a limitless drive
275,Bachelor
276,Proficiency
277,Scala
278,Python
279,Google Cloud Platform/AWS/Azure
280,hypervisors
281,a concise and effective manner
282,Bachelor
283,developing Microservices
284,RESTful services
285,other SOA development experience
286,ORM
287,Nhibernate
288,Strong TDD approach
289,Nunit
290,xUnit
291,Highly efficient data persistent design techniques
292,data retrieval performance
293,Microsoft SQL Server/Postgres
294,MongoDB
295,concurrency
296,"Excellent analytical, quantitative, and problem-solving abilities"
297,algorithms
298,minimal oversight
299,Strong interpersonal
300,Xamarin
301,debug
302,uniformity
303,various prototypes
304, Bachelor’s degree
305,LINQ
306,Rest APIs
307,"(Xamarin iOS, Xamarin Droid"
308,Xamarin
309,UWP
310,XAML
311,e.g. Azure integrations
312,HockeyApp/Visual Studio App Center
313,CI
314,Automation Testing
315,Xamarin
316,Xamarin Profiler
317,TFS
318,MVVM Architecture
319,VSTS
320,roadmaps
321,PCL
322,SQLite
323,Xamarin Binding
324,SAP HANA REST API Integration
325,Xamarin
326,Swift / XCode
327,urgency
328, Willingness
329,all relevant SOPs
330,servicesIntegrate Highspot
331,external APIs
332,CMS
333,Highspot’s Salesforce integrations
334,-
335,Proficiency
336,APIs
337,data formats
338,scalable internet software
339,other feature crews
340,Highspot
341,highly-availability distributed services
342,observability
343,indexes
344,-
345,Proficiency
346,containerization
347,scalable internet software
348,Clojure
349,Angular
350,Vue
351,.. APIs
352,architectural patterns
353,Node
354,Typescript
355,modern ecosystems
356,Collaborative build practices
357,a velocity multiplier
358,the refinement
359,the entire software stack
360,the norms
361,other software development capabilities
362,oversight
363,cloud-based ecosystems
364,routines
365,Angular
366,Vue
367,.. APIs
368,architectural patterns
369,Node
370,Typescript
371,modern ecosystems
372,Collaborative build practices
373,the refinement
374,the entire software stack
375,the norms
376,cloud-based ecosystems
377,other software development capabilities
378,routines
379,Angular
380,Vue
381,.. APIs
382,architectural patterns
383,Node
384,Typescript
385,modern ecosystems
386,Collaborative build practices
387,a velocity multiplier
388,the refinement
389,the entire software stack
390,the norms
391,other software development capabilities
392,oversight
393,cloud-based ecosystems
394,routines
395,Data annotation
396,a biotechnology
397,Python
398,annotation
399,advanced display and data manipulation
400,strong Python coding skills
401,your sleeves
402,Degree qualification
403,Python
404,Ideally some exposure
405,Elasticsearch
406,Kibana
407,mentor
408,yearly conferences
409,constructive feedback
410,an important and communicative part
411,an engaged and spirited team
412,workarounds
413,promptly follow-up
414,SLA
415,a timely manner
416,Proxies
417,SSL/IPSec
418,VPN
419,Familiarity
420,Windows­ based systems
421,tcpdump
422,DNS
423,DHCP
424,Familiarity
425,Strong empathy
426,Interpersonal Skills
427,Zendesk
428,workarounds
429,promptly follow-up
430,SLA
431,a timely manner
432,Proxies
433,SSL/IPSec
434,VPN
435,Familiarity
436,Windows­ based systems
437,tcpdump
438,DNS
439,DHCP
440,Familiarity
441,Strong empathy
442,Interpersonal Skills
443,Zendesk
444,billions
445,Excellent grasp
446,Python
447,production and debugging complex systems
448,their mathematical concepts
449,sklearn
450,SparkML
451,pandas
452,NumPy
453,similar packages
454,Tensorflow
455,PyTorch
456,Keras
457,Elasticsearch
458,Familiarity
459,automation technologies
460,Jenkins
461,GNN
462,RL
463,Recommender Systems
464,NLP techniques
465,embeddings
466,attention mechanisms
467,Familiarity
468,the information/cyber security domain
469,exploratory data analysis
470,algorithms
471,efficacy
472,Analyzes
473,debugs
474,debugging
475,necessary modifications
476,external & internal specifications
477,troubleshooting
478,Bachelor’s degree
479,6 to 8 years professional Java development experience
480,SDLC
481,the following development languages / frameworks / tools
482,Micro-services architecture
483,docker
484,micro-services deployment
485,Nginx/Ingres
486,Service Mesh
487,(e.g. Istio
488,sensitive data encryption
489,TortoiseGit / Sourcetree
490,JIRA
491,testing frameworks
492,i.e. Junit
493,Mockito
494,JBoss
495,Database Servers
496,PostgreSQL
497,Oracle
498,MSSQL
499,shell scripting
500,JAXB
501,Apache Commons
502,Apache POI
503,XSD
504,Apache Ant
505,DDL
506,DML
507,JDBC
508,liquibase
509,Java Message Service
510,JMS
511,(Primarily Elixir/Phoenix
512,LiveView
513,Ruby
514,Rails
515,amazing GraphQL
516,RESTful APIs
517,modern JavaScript technologies
518,strong competencies
519,algorithms
520,software craftsmanship
521,Ruby
522,Rails
523,Sinatra
524,Django
525,Node
526,A strong grasp
527,PostgreSQL
528,MySQL
529,Exq
530,Sidekiq
531,Celery
532,Beanstalk
533,RabbitMQ
534,Kafka
535,testing frameworks
536,ExUnit
537,RSpec
538,Jest
539,pytest
540,familiarity
541,third party APIs
542,Elixir
543,GraphQL APIs
544,Absinthe
545,GraphQL
546,subscriptions
547,startups
548,esports
549,(Primarily Elixir/Phoenix
550,LiveView
551,Ruby
552,Rails
553,amazing GraphQL
554,RESTful APIs
555,Willingness
556,modern JavaScript technologies
557,strong competencies
558,algorithms
559,software craftsmanship
560,Ruby
561,Rails
562,Sinatra
563,Django
564,Node
565,A strong grasp
566,PostgreSQL
567,MySql
568,Exq
569,Sidekiq
570,Celery
571,Beanstalk
572,Kafka
573,RabbitMQ
574,testing frameworks
575,ExUnit
576,RSpec
577,Jest
578,pytest
579,familiarity
580,third party APIs
